timestamp,closescaled,OBVscaled,Y_value,RSI
2003-08-15,0.1662415231,0.1500652718,0.17700491510000002,0.4412527728673582
2003-08-14,0.1648105519,0.1426064593,0.1662415231,0.35905237813231283
2003-08-13,0.1625707709,0.1332146049,0.1648105519,0.48517938492914814
2003-08-12,0.1644994712,0.1437914793,0.1625707709,0.45971986127975795
2003-08-11,0.1614508804,0.1342524494,0.1644994712,0.45701587155823875
2003-08-08,0.1605798544,0.12548120210000002,0.1614508804,0.41788883038155245
2003-08-07,0.1593977478,0.1159841635,0.1605798544,0.3597257427737063
2003-08-06,0.1535494307,0.10507773949999999,0.1593977478,0.32217012248147814
2003-08-05,0.1541715921,0.1204585041,0.1535494307,0.24515717559229178
2003-08-04,0.1621352579,0.13490455,0.1541715921,0.2893169709377277
2003-08-01,0.1630062838,0.1470243998,0.1621352579,0.346496231873477
2003-07-31,0.1628818516,0.1336954468,0.1630062838,0.3705214825500749
2003-07-30,0.1610775835,0.11712472210000001,0.1628818516,0.3951859458539203
2003-07-29,0.1663037392,0.1308225401,0.1610775835,0.38044363620605426
2003-07-28,0.17090773350000002,0.1458132382,0.1663037392,0.3802751730089178
2003-07-25,0.1771915635,0.1590353604,0.17090773350000002,0.4148628441874277
2003-07-24,0.1644994712,0.1462636158,0.1771915635,0.41649097163922144
2003-07-23,0.1694145461,0.1583239779,0.1644994712,0.4171827906730531
2003-07-22,0.1666148199,0.1473593013,0.1694145461,0.4447452667650549
2003-07-21,0.1706588689,0.1653585545,0.1666148199,0.5049721009346582
2003-07-18,0.1782492379,0.17984165149999998,0.1706588689,0.5151143514415373
2003-07-17,0.1758228084,0.1622069407,0.1782492379,0.4716287172892809
2003-07-16,0.1970385118,0.19002763609999998,0.1758228084,0.6550639222920075
2003-07-15,0.19517202760000002,0.1718363343,0.1970385118,0.5975870992810197
2003-07-14,0.1888259815,0.15555357949999998,0.19517202760000002,0.5820958212164091
2003-07-11,0.1855285261,0.1422662061,0.1888259815,0.5030525019735996
2003-07-10,0.1801779382,0.13293198679999998,0.1855285261,0.4867009637342158
2003-07-09,0.18913706219999998,0.14838891210000002,0.1801779382,0.5317287959011892
2003-07-08,0.193989921,0.16220014800000002,0.18913706219999998,0.5760390178215001
2003-07-07,0.19299446280000002,0.1501093215,0.193989921,0.5625235122957971
2003-07-03,0.17968020899999998,0.1344348235,0.19299446280000002,0.5502515415958271
2003-07-02,0.184595284,0.1406295735,0.17968020899999998,0.5331329616187286
2003-07-01,0.177440428,0.1282592166,0.184595284,0.48835758364484816
2003-06-30,0.1706588689,0.1163497351,0.177440428,0.5343443653697217
2003-06-27,0.1763827537,0.132715855,0.1706588689,0.5604686599597322
2003-06-26,0.1821688546,0.14204636910000001,0.1763827537,0.6618429979820506
2003-06-25,0.1705966528,0.1289253143,0.1821688546,0.5263511300152276
2003-06-24,0.17768929260000002,0.1403453087,0.1705966528,0.48484941986494046
2003-06-23,0.1748895664,0.1299240492,0.17768929260000002,0.4840509655306032
2003-06-20,0.1857151745,0.1429158366,0.1748895664,0.4364369784517603
2003-06-19,0.1834131774,0.11842089550000001,0.1857151745,0.40709262729844276
2003-06-18,0.1843464195,0.1334000666,0.1834131774,0.43250246835061157
2003-06-17,0.18185777390000002,0.1211702983,0.1843464195,0.4145401585303289
2003-06-16,0.18310209670000002,0.133260713,0.18185777390000002,0.416542918907735
2003-06-13,0.17221427239999998,0.11989738470000001,0.18310209670000002,0.4365897301430096
2003-06-12,0.17968020899999998,0.1316868616,0.17221427239999998,0.4465388445761499
2003-06-11,0.17980464129999998,0.1462446785,0.17968020899999998,0.44457944818919715
2003-06-10,0.16574379390000002,0.1260398514,0.17980464129999998,0.3767290762782537
2003-06-09,0.167548062,0.14435136369999998,0.16574379390000002,0.36821736862091503
2003-06-06,0.1554159149,0.12426901130000001,0.167548062,0.2359365119143082
2003-06-05,0.1669259006,0.1554761837,0.1554159149,0.2519799361045748
2003-06-04,0.1815466932,0.18687972739999997,0.1669259006,0.35347047581198765
2003-06-03,0.17887139920000003,0.1647840555,0.1815466932,0.30660433956273025
2003-06-02,0.200709264,0.20822984739999997,0.17887139920000003,0.44066181038017005
2003-05-30,0.2051266098,0.2240737516,0.200709264,0.522106586088223
2003-05-29,0.2008959124,0.2113442041,0.2051266098,0.5497112498973046
2003-05-28,0.2022024513,0.22554488890000002,0.2008959124,0.5341370541249377
2003-05-27,0.202949045,0.2390066087,0.2022024513,0.5100542552787072
2003-05-23,0.18783052320000002,0.2242614775,0.202949045,0.45876419404695146
2003-05-22,0.1929322466,0.23493880179999999,0.18783052320000002,0.4519294735499265
2003-05-21,0.193554408,0.24785998609999998,0.1929322466,0.5131028155526199
2003-05-20,0.1910035463,0.23398432239999997,0.193554408,0.5306706739318636
2003-05-19,0.19523424379999998,0.2490762937,0.1910035463,0.527884571977995
