timestamp,open,high,low,close,volume,OBV,closescaled,OBVscaled
2005-12-16,83.89,84,83,83.37,7398200,865434600,0.176071673,0.2329588283
2005-12-15,82.88,83.63,82.75,83.53,6155900,872832800,0.1770671312,0.2481872714
2005-12-14,83.65,83.95,82.95,83.13,7161800,866676900,0.1745784857,0.2355159767
2005-12-13,84.5,84.9,83.5,83.71,12545300,873838700,0.1781870217,0.2502578144
2005-12-12,87.01,87.35,85.76,85.96,6044100,886384000,0.192185653,0.27608104
2005-12-09,86.8,87.1,86.33,86.97,6461800,892428100,0.198469483,0.2885222058
2005-12-08,88.57,88.91,86.67,87.5,5787000,898889900,0.2017669383,0.3018231646
2005-12-07,89,89.92,88.45,88.72,5284000,904676900,0.2093573073,0.3137351162
2005-12-06,88.56,89.84,88.56,89.14,4871500,909960900,0.2119703851,0.3246116934
2005-12-05,88.4,88.65,87.71,88.43,4023600,905089400,0.2075530393,0.3145842056
2005-12-02,89,89.15,88.36,88.65,4730500,909113000,0.2089217943,0.3228663774
2005-12-01,89.15,89.74,89.05,89.21,4668500,913843500,0.2124058981,0.3326036311
2005-11-30,89.05,89.64,88.73,88.9,6021500,909175000,0.2104771978,0.3229939981
2005-11-29,89.18,89.94,89.02,89.1,5147000,915196500,0.2117215206,0.3353886441
2005-11-28,88.8,89.43,88.75,89.11,5197900,920343500,0.2117837367,0.3459832208
2005-11-25,88.95,89.32,88.62,88.8,2199300,915145600,0.2098550364,0.3352838717
2005-11-23,88.12,89.39,87.95,88.8,5399300,915145600,0.2098550364,0.3352838717
2005-11-22,86.88,88.08,86.88,87.99,5786600,909746300,0.2048155291,0.3241699611
2005-11-21,87.6,87.87,87.01,87.29,4807900,903959700,0.2004603994,0.3122588329
2005-11-18,88,88,87.17,87.77,7985800,908767600,0.2034467741,0.3221554066
2005-11-17,86.18,86.98,85.76,86.89,5293600,900781800,0.1979717539,0.3057174486
2005-11-16,85.45,86.58,85.39,86.54,6694100,895488200,0.195794189,0.2948211108
2005-11-15,84.03,85.9,84.03,85.53,6830800,888794100,0.189510359,0.281041986
2005-11-14,84.25,85,84.11,84.36,3915300,881963300,0.1822310707,0.2669814781
2005-11-11,84.2,84.84,84.15,84.55,4841300,885878600,0.1834131774,0.2750407254
2005-11-10,82.7,84.3,82.3,83.99,4732000,881037300,0.1799290736,0.2650754012
2005-11-09,82.71,83.33,82.49,82.84,3936200,876305300,0.1727742176,0.2553350599
2005-11-08,83.41,83.9,83.11,83.15,3798000,880241500,0.1747029179,0.2634373277
2005-11-07,83.1,83.85,83.07,83.61,4455100,884039500,0.1775648603,0.2712551249
2005-11-04,82.91,83.3,82.6454,83,3831400,879584400,0.1737696759,0.2620847541
2005-11-03,81.55,83.03,81.31,82.87,7690900,875753000,0.172960866,0.2541982065
2005-11-02,81.2,81.89,80.64,81.06,6447400,868062100,0.1616997449,0.2383672701
2005-11-01,81.85,82.15,81.29,81.59,5653100,874509500,0.1649972003,0.2516385881
2005-10-31,81.51,82.3,81.3,81.88,7531200,880162600,0.1668014683,0.2632749201
2005-10-28,82.32,82.43,80.5,81.42,6941300,872631400,0.1639395259,0.24777271
2005-10-27,82.53,82.93,82.25,82.31,3705800,879572700,0.1694767623,0.2620606709
2005-10-26,82.97,83.87,82.72,82.89,4270800,883278500,0.1730852983,0.2696886837
2005-10-25,83.08,83.95,82.71,83.36,5393300,887549300,0.1760094569,0.2784796916
2005-10-24,83.15,83.61,82.6,83.47,5482200,892942600,0.1766938344,0.2895812518
2005-10-21,83.08,84,82.91,83.33,6020700,887460400,0.1758228084,0.2782967
2005-10-20,84,84.19,82.88,83.17,5752700,881439700,0.1748273502,0.2659037007
2005-10-19,82.41,84.2,82.38,84.17,7502600,887192400,0.1810489641,0.2777450492
2005-10-18,84.33,84.6,83.35,83.48,12045300,879689800,0.1767560505,0.2623017093
2005-10-17,82.36,82.99,81.93,82.59,7964800,867644500,0.1712188142,0.237507683
2005-10-14,82.6,82.71,81.6,82.35,5573700,859679700,0.1697256268,0.2211129513
2005-10-13,81.7,83.2,81.7,82.2,5530600,854106000,0.1687923847,0.2096400561
2005-10-12,82.75,82.93,81.95,82.19,7580800,848575400,0.1687301686,0.1982558779
2005-10-11,82.25,83.52,81.97,83.19,9781300,856156200,0.1749517825,0.2138601845
2005-10-10,81.24,82.1,81.08,81.25,7882900,846374900,0.1628818516,0.1937263722
2005-10-07,80.25,81.12,80.09,80.5,6130100,838492000,0.1582156411,0.1775002233
2005-10-06,79.82,80.27,78.7,79.7,8130200,832361900,0.15323835,0.1648820352
2005-10-05,80.11,80.68,79.56,79.82,4998800,840492100,0.1539849437,0.181617226
2005-10-04,80.65,81.47,79.93,80.11,6365100,845490900,0.1557892117,0.191906748
2005-10-03,80.22,80.6,79.5,80.45,5297600,851856000,0.1579045604,0.2050086597
2005-09-30,80.02,80.5,79.97,80.22,5536500,846558400,0.1564735892,0.1941040883
2005-09-29,79.25,80.55,78.87,80.36,5899700,852094900,0.1573446152,0.2055004111
2005-09-28,78.06,79.73,78.06,79.5,7747700,846195200,0.1519940273,0.193356478
2005-09-27,77.17,78.6,77.16,77.99,5499600,838447500,0.1425993903,0.1774086246
2005-09-26,78.31,78.41,76.93,77.41,5433200,832947900,0.1389908542,0.1660882567
2005-09-23,77.7,78.11,77.5,78,5434600,838381100,0.1426616064,0.177271947
2005-09-22,77.56,78.5,77.3,78.21,6870400,843815700,0.1439681453,0.1884585189
2005-09-21,78,78.46,77.37,77.56,7126000,836945300,0.1399240963,0.1743164985
2005-09-20,79.27,79.65,78.63,78.7,7122300,844071300,0.1470167361,0.1889846456
2005-09-19,79.74,79.98,79.01,79.43,5148500,851193600,0.1515585143,0.2036451766
2005-09-16,80.38,80.5,79.83,80.33,7624900,856342100,0.1571579668,0.2142428408
2005-09-15,80.43,80.65,79.67,80.01,4864100,848717200,0.1551670503,0.1985477588
2005-09-14,80.75,81.4,80.42,80.48,3887700,853581300,0.1580912089,0.2085600145
2005-09-13,81.49,81.49,80.52,80.75,5040900,857469000,0.1597710446,0.21656245
2005-09-12,81.03,82.11,81,81.48,3692800,862509900,0.1643128227,0.2269386305
2005-09-09,80.86,81.49,80.52,81.44,3982200,858817100,0.1640639582,0.2193373769
2005-09-08,81.28,81.52,80.5,80.8,4277300,854834900,0.1600821253,0.2111404227
2005-09-07,80.7,81.13,80.32,80.98,4116300,859112200,0.1612020158,0.2199448102
